"","species","ctg","orthogroup","gene","gene_orientation","start_gene","end_gene","value"
"59587","AGAMB","2R","EOG091700DY","AGAP002510","-",22138179,22139972,0.574
"59588","AGAMB","2R","EOG091700DY","AGAP002511","-",22134638,22143589,0.574
"59589","AGAMB","2R","EOG091707OB","AGAP002512","+",22169856,22170782,0.07
"59590","AGAMB","2R","EOG091707HQ","AGAP002513","-",22172715,22174759,NA
"59591","AGAMB","2R","EOG091709JZ","AGAP002514","+",22176101,22176697,NA
"59592","AGAMB","2R","EOG091706FM","AGAP002515","+",22177211,22178562,NA
"59593","AGAMB","2R","EOG091700ZO","AGAP002516","-",22179222,22182465,0.358
"59594","AGAMB","2R","EOG0917078F","AGAP002517","+",22183330,22184179,0.082
"59595","AGAMB","2R","EOG091701KX","AGAP002518","-",22185350,22193225,0.276
"59596","AGAMB","2R","EOG091707US","AGAP002520","+",22321444,22322202,NA
"59597","AGAMB","2R","EOG091702V8","AGAP002521","-",22322371,22323216,0.036
"59598","AGAMB","2R","EOG0917005Y","AGAP002523","-",22342137,22352687,0.537
"59599","AGAMB","2R","EOG091708GO","AGAP002524","-",22353778,22354314,NA
"59600","AGAMB","2R","EOG09170319","AGAP002525","+",22360922,22363216,NA
"59601","AGAMB","2R","EOG09170B5H","AGAP002526","-",22363492,22363828,NA
"59602","AGAMB","2R","EOG091700HE","AGAP002527","+",22364730,22370704,NA
"59603","AGAMB","2R","EOG091709FF","AGAP002528","+",22372972,22373483,NA
"59604","AGAMB","2R","EOG09170085","AGAP002529","+",22425490,22437464,NA
"59605","AGAMB","2R","EOG091705EK","AGAP002530","-",22441965,22443138,0.065
"59606","AGAMB","2R","EOG09170589","AGAP002531","+",22443984,22445216,NA
"59607","AGAMB","2R","EOG0917078L","AGAP002532","-",22445507,22446684,0.021
"59608","AGAMB","2R","EOG091707CF","AGAP002533","+",22447207,22448249,NA
"59609","AGAMB","2R","EOG091707CU","AGAP002534","-",22450430,22451514,NA
"59610","AGAMB","2R","EOG0917065L","AGAP002535","+",22452224,22453252,NA
"59611","AGAMB","2R","EOG091705C0","AGAP002536","-",22454912,22460759,0.01
"59612","AGAMB","2R","EOG09170AUT","AGAP002537","-",22463345,22463641,NA
"59613","AGAMB","2R","EOG091704KN","AGAP002538","-",22473568,22474690,0.012
"59614","AGAMB","2R","EOG091700HN","AGAP002539","+",22475735,22479364,NA
"59615","AGAMB","2R","EOG091705OL","AGAP002540","-",22498678,22499919,0.017
"59616","AGAMB","2R","EOG091705SK","AGAP002541","+",22481153,22482767,NA
"59617","AGAMB","2R","EOG091705XS","AGAP002542","+",22518869,22519927,NA
"59618","AGAMB","2R","EOG091706GU","AGAP002543","+",22553284,22554273,0.01
"59619","AGAMB","2R","EOG091705QZ","AGAP002544","+",22587211,22660168,NA
"59620","AGAMB","2R","EOG091708S8","AGAP002546","+",22664673,22665626,NA
"59621","AGAMB","2R","EOG091708WL","AGAP002547","-",22665765,22666365,NA
"59622","AGAMB","2R","EOG091700R9","AGAP002548","-",22666695,22671980,0.012
"59623","AGAMB","2R","EOG0917031K","AGAP002549","+",22672956,22675033,NA
"59624","AGAMB","2R","EOG09170822","AGAP002550","+",22698065,22699065,NA
"59625","AGAMB","2R","EOG091702DL","AGAP002551","-",22702149,22704094,NA
"59626","AGAMB","2R","EOG091702E5","AGAP002552","+",22718447,22723370,0.046
"59627","AGAMB","2R","EOG091702UE","AGAP002554","-",22780763,22782949,NA
"59628","AGAMB","2R","EOG0917035E","AGAP002555","+",22785584,22787760,NA
"59629","AGAMB","2R","EOG091708J0","AGAP002556","-",22787966,22788641,NA
"59630","AGAMB","2R","EOG091703YQ","AGAP002558","-",22823983,22825656,NA
"59631","AGAMB","2R","EOG091705Z6","AGAP002559","-",22829180,22837493,NA
"59632","AGAMB","2R","EOG091703KU","AGAP002560","-",22849252,22858650,NA
"59633","AGAMB","2R","EOG091706RY","AGAP002563","+",22870786,22871818,0.096
"59634","AGAMB","2R","EOG09170551","AGAP002564","+",22877762,22891504,NA
"59635","AGAMB","2R","EOG091701ZR","AGAP002566","+",22968003,22970561,NA
"59636","AGAMB","2R","EOG091701CI","AGAP002567","+",22993406,22996996,NA
"59637","AGAMB","2R","EOG091707LM","AGAP002568","-",22999633,23000537,NA
"59638","AGAMB","2R","EOG0917048U","AGAP002569","+",23001121,23003076,NA
"59639","AGAMB","2R","EOG09170349","AGAP002570","-",23003531,23005305,NA
"59640","AGAMB","2R","EOG091703ZA","AGAP002571","+",23005886,23007403,NA
"59641","AGAMB","2R","EOG091709NO","AGAP002572","-",23076785,23077309,NA
"59642","AGAMB","2R","EOG09170918","AGAP002575","-",23096757,23106994,0.011
"59643","AGAMB","2R","EOG091700TS","AGAP002576","-",23114872,23126282,0.201
"59644","AGAMB","2R","EOG091700OU","AGAP002579","+",23266440,23271869,NA
"59645","AGAMB","2R","EOG091701PJ","AGAP002580","-",23272473,23275129,NA
"59646","AGAMB","2R","EOG09170210","AGAP002581","-",23275989,23278271,NA
"59647","AGAMB","2R","EOG091702VV","AGAP002583","+",23280868,23282316,NA
"59648","AGAMB","2R","EOG091700DQ","AGAP002585","+",23282878,23290569,NA
"59649","AGAMB","2R","EOG09170229","AGAP002586","-",23292050,23294443,NA
"59650","AGAMB","2R","EOG091703IO","AGAP002587","-",23307020,23309273,NA
"59651","AGAMB","2R","EOG091709N7","AGAP002588","-",23314357,23314849,NA
"59652","AGAMB","2R","EOG0917040K","AGAP002589","+",23411485,23412341,0.013
"59653","AGAMB","2R","EOG091704TW","AGAP002591","+",23569476,23656656,NA
"59654","AGAMB","2R","EOG091701MP","AGAP002592","+",23675001,23677291,NA
"59655","AGAMB","2R","EOG091707OT","AGAP002593","+",23677658,23678504,0.014
"59656","AGAMB","2R","EOG091705ZA","AGAP002594","+",23681196,23682316,NA
"59657","AGAMB","2R","EOG091704ZL","AGAP002595","-",23695505,23696886,NA
"59658","AGAMB","2R","EOG091706OL","AGAP002596","+",23723081,23724325,NA
"59659","AGAMB","2R","EOG0917006G","AGAP002597","-",23769193,23776505,NA
"59660","AGAMB","2R","EOG091702NG","AGAP002598","+",23777843,23779447,NA
"59661","AGAMB","2R","EOG091706E2","AGAP002599","-",23780030,23782656,NA
"59662","AGAMB","2R","EOG091703WD","AGAP002600","+",23784210,23785710,0.021
"59663","AGAMB","2R","EOG091704A4","AGAP002601","+",23818836,23820416,0.011
"59664","AGAMB","2R","EOG0917040M","AGAP002602","+",23823922,23825471,0.131
"59665","AGAMB","2R","EOG091709K4","AGAP002604","-",23830972,23831529,NA
"59666","AGAMB","2R","EOG091702O8","AGAP002605","+",23831914,23835319,NA
"59667","AGAMB","2R","EOG0917071Q","AGAP002606","-",23835495,23836455,NA
"59668","AGAMB","2R","EOG091701YL","AGAP002607","+",23837646,23840348,NA
"59669","AGAMB","2R","EOG0917061H","AGAP002608","-",23841728,23843003,NA
"59670","AGAMB","2R","EOG0917091M","AGAP002609","+",23847866,23848662,NA
"59671","AGAMB","2R","EOG09170306","AGAP002610","+",24041704,24057080,NA
"59672","AGAMB","2R","EOG091709PV","AGAP002612","+",24141504,24141978,NA
"59673","AGAMB","2R","EOG0917044Y","AGAP002614","-",24163045,24168560,NA
"59674","AGAMB","2R","EOG091706PM","AGAP002615","-",24202829,24203754,NA
"59675","AGAMB","2R","EOG0917032E","AGAP002616","+",24231454,24233704,NA
"59676","AGAMB","2R","EOG0917060D","AGAP002617","+",24239665,24240831,NA
"59677","AGAMB","2R","EOG091700S2","AGAP002618","-",24241145,24244933,NA
"59678","AGAMB","2R","EOG091709B3","AGAP002619","+",24246182,24249371,NA
"59679","AGAMB","2R","EOG09170AKT","AGAP002620","+",24261779,24262377,NA
"59680","AGAMB","2R","EOG09170C3R","AGAP002621","+",24265147,24266446,NA
"59681","AGAMB","2R","EOG0917023C","AGAP002623","-",24289520,24295428,0.015
"59682","AGAMB","2R","EOG0917062J","AGAP002624","+",24300451,24301612,NA
"59683","AGAMB","2R","EOG091704VD","AGAP002625","+",24304518,24307559,NA
"59684","AGAMB","2R","EOG0917053M","AGAP002626","+",24327014,24328388,NA
"59685","AGAMB","2R","EOG091706D1","AGAP002627","-",24328510,24329361,NA
"59686","AGAMB","2R","EOG091706BS","AGAP002628","-",24496842,24528705,NA
"59687","AGAMB","2R","EOG091704KZ","AGAP002629","+",24564961,24567358,NA
"59688","AGAMB","2R","EOG09170AHE","AGAP002630","-",24620285,24620831,NA
"59689","AGAMB","2R","EOG09170BHF","AGAP002631","+",24621991,24622170,NA
"59690","AGAMB","2R","EOG09170BXG","AGAP002632","-",24622551,24622730,0.027
"59691","AGAMB","2R","EOG0917044H","AGAP002633","-",24694665,24698605,NA
"59692","AGAMB","2R","EOG09170499","AGAP002634","+",24773120,24781524,NA
"59693","AGAMB","2R","EOG091706F2","AGAP002635","+",24811173,24812613,NA
"59694","AGAMB","2R","EOG09170ASR","AGAP002636","+",24820728,24821113,NA
"59695","AGAMB","2R","EOG09170AKJ","AGAP002637","+",24821628,24821897,0.013
"59696","AGAMB","2R","EOG091701P8","AGAP002638","+",24844985,24847767,NA
"59697","AGAMB","2R","EOG091704HG","AGAP002639","+",24850239,24851846,NA
"59698","AGAMB","2R","EOG091704HG","AGAP002640","+",24857474,24859095,NA
"59699","AGAMB","2R","EOG09170AQE","AGAP002641","-",24889907,24890303,NA
"59700","AGAMB","2R","EOG091701YW","AGAP002642","+",24891704,24894264,NA
"59701","AGAMB","2R","EOG091709MD","AGAP002643","-",24908371,24908938,NA
"59702","AGAMB","2R","EOG091700DR","AGAP002644","+",24919689,24940522,NA
"59703","AGAMB","2R","EOG091705I0","AGAP002645","-",24944273,24958847,NA
"59704","AGAMB","2R","EOG091704WI","AGAP002646","+",24959802,24960917,NA
"59705","AGAMB","2R","EOG0917003C","AGAP002648","+",25077385,25088084,0.565
"59706","AGAMB","2R","EOG0917019C","AGAP002649","-",25095636,25102149,0.018
"59707","AGAMB","2R","EOG091706WK","AGAP002650","+",25130272,25131563,NA
"59708","AGAMB","2R","EOG0917032C","AGAP002652","+",25165162,25166711,NA
"59709","AGAMB","2R","EOG091703DO","AGAP002653","-",25167010,25168581,0.029
"59710","AGAMB","2R","EOG091702G5","AGAP002655","+",25188587,25192992,NA
"59711","AGAMB","2R","EOG0917007O","AGAP002656","+",25196705,25203280,NA
"59712","AGAMB","2R","EOG091706ER","AGAP002657","-",25203510,25204451,NA
"59713","AGAMB","2R","EOG09170BFT","AGAP002658","+",25205095,25205361,0.026
"59714","AGAMB","2R","EOG091704KO","AGAP002659","-",25205541,25207041,NA
"59715","AGAMB","2R","EOG091705DH","AGAP002661","+",25208814,25209834,NA
"59716","AGAMB","2R","EOG091703I2","AGAP002662","-",25210340,25211931,NA
"59717","AGAMB","2R","EOG091706HM","AGAP002664","-",25253915,25255008,0.012
"59718","AGAMB","2R","EOG091700WR","AGAP002665","+",25255484,25259044,NA
"59719","AGAMB","2R","EOG0917052U","AGAP002666","-",25260359,25261256,NA
"59720","AGAMB","2R","EOG0917098C","AGAP002667","+",25262292,25263450,0.012
"59721","AGAMB","2R","EOG091707SL","AGAP002668","+",25264714,25265700,NA
"59722","AGAMB","2R","EOG0917029Q","AGAP002669","-",25266143,25268478,NA
"59723","AGAMB","2R","EOG091704LO","AGAP002670","+",25271138,25276272,NA
"59724","AGAMB","2R","EOG0917016N","AGAP002671","+",25281239,25287524,NA
"59725","AGAMB","2R","EOG0917017J","AGAP002672","-",25293763,25307724,NA
"59726","AGAMB","2R","EOG091701MN","AGAP002674","-",25378949,25391048,NA
"59727","AGAMB","2R","EOG091701U3","AGAP002677","+",25392238,25556331,NA
"59728","AGAMB","2R","EOG091703V5","AGAP002678","-",25558873,25562578,NA
"59729","AGAMB","2R","EOG0917058W","AGAP002679","+",25576295,25577739,0.026
"59730","AGAMB","2R","EOG091700NI","AGAP002682","+",25604771,25609268,NA
"59731","AGAMB","2R","EOG091703ZH","AGAP002684","+",25611808,25614217,NA
"59732","AGAMB","2R","EOG091709ZQ","AGAP002685","-",25615283,25617428,NA
"59733","AGAMB","2R","EOG091702OI","AGAP002686","+",25618249,25620016,NA
"59734","AGAMB","2R","EOG09170328","AGAP002690","+",25645751,25648117,0.125
"59735","AGAMB","2R","EOG0917057R","AGAP002691","-",25648410,25650430,0.039
"59736","AGAMB","2R","EOG09170097","AGAP002692","+",25654994,25662404,NA
"59737","AGAMB","2R","EOG091702CJ","AGAP002693","-",25664236,25666159,NA
"59738","AGAMB","2R","EOG091701SH","AGAP002695","+",25704197,25717381,NA
"59739","AGAMB","2R","EOG0917025T","AGAP002702","+",25770912,25774787,NA
"59740","AGAMB","2R","EOG0917073H","AGAP002703","+",25787031,25788125,NA
"59741","AGAMB","2R","EOG091703ZY","AGAP002704","+",25826373,25828086,NA
"59742","AGAMB","2R","EOG0917064L","AGAP002705","+",25828737,25830888,NA
"59743","AGAMB","2R","EOG09170BH8","AGAP002706","-",25831007,25831397,NA
"59744","AGAMB","2R","EOG091702P9","AGAP002709","-",26001233,26004244,NA
"59745","AGAMB","2R","EOG091700BV","AGAP002710","-",26006547,26012257,NA
"59746","AGAMB","2R","EOG0917015O","AGAP002711","+",26014517,26044178,0.023
"59747","AGAMB","2R","EOG091708FH","AGAP002712","+",26053298,26054152,0.1
"59748","AGAMB","2R","EOG091708QE","AGAP002713","-",26054501,26055126,NA
"59749","AGAMB","2R","EOG091700I4","AGAP002715","+",26150873,26163048,NA
"59750","AGAMB","2R","EOG091702A4","AGAP002717","+",26167040,26169646,0.014
"59751","AGAMB","2R","EOG091702E8","AGAP002718","-",26171532,26176417,0.227
"59752","AGAMB","2R","EOG091701HM","AGAP002719","+",26205131,26227733,NA
"59753","AGAMB","2R","EOG091704XT","AGAP002720","-",26232834,26234329,0.014
"59754","AGAMB","2R","EOG091701ZS","AGAP002721","-",26235432,26238416,NA
"59755","AGAMB","2R","EOG091705BO","AGAP002722","+",26239866,26241686,NA
"59756","AGAMB","2R","EOG091709KR","AGAP002723","+",26242222,26242848,NA
"59757","AGAMB","2R","EOG091706VF","AGAP002724","+",26246192,26247431,NA
"59758","AGAMB","2R","EOG091702VN","AGAP002725","-",26248500,26263468,NA
"59759","AGAMB","2R","EOG091707Z2","AGAP002726","+",26282190,26282941,NA
"59760","AGAMB","2R","EOG09170772","AGAP002727","+",26285372,26286453,NA
"59761","AGAMB","2R","EOG0917016J","AGAP002729","-",26292764,26296342,NA
"59762","AGAMB","2R","EOG09170AHG","AGAP002730","-",26297858,26298664,NA
"59763","AGAMB","2R","EOG09170473","AGAP002731","+",26299409,26301702,NA
"59764","AGAMB","2R","EOG091704DF","AGAP002732","+",26314514,26332411,NA
"59765","AGAMB","2R","EOG091706HF","AGAP002733","+",26337805,26338896,NA
"59766","AGAMB","2R","EOG091703CR","AGAP002734","+",26340056,26341535,NA
"59767","AGAMB","2R","EOG0917008H","AGAP002735","-",26343487,26353678,NA
"59768","AGAMB","2R","EOG091701ZA","AGAP002736","+",26356725,26362253,NA
"59769","AGAMB","2R","EOG0917007X","AGAP002737","+",26367279,26394614,NA
"59770","AGAMB","2R","EOG091703Y1","AGAP002738","-",26395507,26405654,NA
"59771","AGAMB","2R","EOG09170012","AGAP002739","+",26428070,26440703,0.032
"59772","AGAMB","2R","EOG091707O9","AGAP002740","-",26443576,26444559,NA
"59773","AGAMB","2R","EOG091708YS","AGAP002743","-",26567248,26567911,0.143
"59774","AGAMB","2R","EOG091705GC","AGAP002744","-",26587691,26589824,NA
"59775","AGAMB","2R","EOG091704BZ","AGAP002745","-",26611084,26612442,0.031
"59776","AGAMB","2R","EOG091701QS","AGAP002748","+",26644368,26657285,NA
"59777","AGAMB","2R","EOG0917019Q","AGAP002751","+",26667682,26669121,0.017
"59778","AGAMB","2R","EOG0917019Q","AGAP002752","+",26670117,26672233,0.017
"59779","AGAMB","2R","EOG091709C7","AGAP002754","+",26675074,26675740,NA
"59780","AGAMB","2R","EOG0917092U","AGAP002755","-",26718999,26720105,0.027
"59781","AGAMB","2R","EOG091707GA","AGAP002756","-",26729514,26730530,NA
"59782","AGAMB","2R","EOG091702UD","AGAP002757","+",26717517,26746018,NA
"59783","AGAMB","2R","EOG091705W5","AGAP002758","+",26775064,26776800,NA
"59784","AGAMB","2R","EOG0917036X","AGAP002759","-",26779591,26781437,NA
"59785","AGAMB","2R","EOG091700GT","AGAP002760","+",26782298,26787306,NA
"59786","AGAMB","2R","EOG091702L2","AGAP002761","-",26787853,26789693,NA
"59787","AGAMB","2R","EOG091700YA","AGAP002762","+",26790470,26792683,NA
"59788","AGAMB","2R","EOG0917002O","AGAP002763","+",26797736,26799713,NA
"59789","AGAMB","2R","EOG091703GB","AGAP002764","+",26829716,26831168,0.01
"59790","AGAMB","2R","EOG09170621","AGAP002765","-",26832458,26833605,NA
"59791","AGAMB","2R","EOG091706F3","AGAP002766","-",26834132,26835745,NA
"59792","AGAMB","2R","EOG09170621","AGAP002767","-",26839462,26848674,NA
"59793","AGAMB","2R","EOG09170621","AGAP002769","-",26852878,26854091,NA
"59794","AGAMB","2R","EOG091702VQ","AGAP002770","+",26856881,26858441,NA
"59795","AGAMB","2R","EOG091700SX","AGAP002775","-",27039206,27041336,0.021
"59796","AGAMB","2R","EOG0917041L","AGAP002776","-",27041812,27043164,NA
"59797","AGAMB","2R","EOG09170300","AGAP002778","+",27047830,27049627,NA
"59798","AGAMB","2R","EOG091705QK","AGAP002779","+",27051673,27053548,NA
"59799","AGAMB","2R","EOG091709YK","AGAP002780","-",27053716,27054227,NA
"59800","AGAMB","2R","EOG0917018V","AGAP002781","+",27054802,27059405,0.167
"59801","AGAMB","2R","EOG091706Y4","AGAP002782","+",27076392,27077937,NA
"59802","AGAMB","2R","EOG0917034Z","AGAP002783","-",27181768,27186305,NA
"59803","AGAMB","2R","EOG091704MC","AGAP002784","+",27191455,27206429,NA
"59804","AGAMB","2R","EOG0917082I","AGAP002788","-",27237959,27238728,NA
"59805","AGAMB","2R","EOG091704AK","AGAP002790","+",27250895,27311896,NA
"59806","AGAMB","2R","EOG091705KI","AGAP002791","-",27319169,27321828,NA
"59807","AGAMB","2R","EOG091708RL","AGAP002792","-",27330773,27340277,NA
"59808","AGAMB","2R","EOG0917007G","AGAP002793","+",27529148,27628492,0.01
"59809","AGAMB","2R","EOG0917046Y","AGAP002794","+",27628718,27630691,NA
"59810","AGAMB","2R","EOG091708SY","AGAP002795","+",27634588,27635747,0.149
"59811","AGAMB","2R","EOG091704H8","AGAP002796","-",27635821,27637216,0.011
"59812","AGAMB","2R","EOG0917012D","AGAP002797","-",27638116,27644376,NA
"59813","AGAMB","2R","EOG091702FJ","AGAP002800","+",27653016,27655262,NA
"59814","AGAMB","2R","EOG091705Z7","AGAP002801","+",27656321,27657560,NA
"59815","AGAMB","2R","EOG091701FT","AGAP002802","+",27742225,27762549,NA
"59816","AGAMB","2R","EOG091702AU","AGAP002803","+",27779901,27784486,NA
"59817","AGAMB","2R","EOG0917016D","AGAP002805","-",27845777,27849323,NA
"59818","AGAMB","2R","EOG091702GW","AGAP002807","-",27854358,27869894,NA
"59819","AGAMB","2R","EOG091707AY","AGAP002808","-",27877043,27877912,NA
"59820","AGAMB","2R","EOG091704QD","AGAP002809","+",27878298,27879677,NA
"59821","AGAMB","2R","EOG091704R6","AGAP002811","+",27883418,27885280,NA
"59822","AGAMB","2R","EOG091709L9","AGAP002812","-",27887409,27889738,NA
"59823","AGAMB","2R","EOG0917040H","AGAP002813","+",27898048,27900955,NA
"59824","AGAMB","2R","EOG091704UA","AGAP002814","-",27902269,27929889,0.131
"59825","AGAMB","2R","EOG091703CY","AGAP002816","+",27948020,27950048,NA
"59826","AGAMB","2R","EOG0917073T","AGAP002817","+",27950941,27973142,NA
"59827","AGAMB","2R","EOG0917062G","AGAP002818","-",27955023,27957187,NA
"59828","AGAMB","2R","EOG091703UJ","AGAP002819","-",27960461,27961816,NA
"59829","AGAMB","2R","EOG0917047W","AGAP002820","+",27969232,27973092,NA
"59830","AGAMB","2R","EOG091708CW","AGAP002821","+",27977748,27978299,NA
"59831","AGAMB","2R","EOG091707XM","AGAP002823","-",27983820,27984479,NA
"59832","AGAMB","2R","EOG091701UO","AGAP002825","-",28007511,28014732,NA
"59833","AGAMB","2R","EOG091702TP","AGAP002826","+",28044383,28054399,NA
"59834","AGAMB","2R","EOG091700C0","AGAP002828","+",28058921,28066692,NA
"59835","AGAMB","2R","EOG091700LV","AGAP002829","+",28069421,28074237,NA
"59836","AGAMB","2R","EOG091700XU","AGAP002830","-",28075093,28081793,NA
"59837","AGAMB","2R","EOG0917050K","AGAP002831","+",28086844,28087998,NA
"59838","AGAMB","2R","EOG091700UO","AGAP002832","-",28092164,28120800,NA
"59839","AGAMB","2R","EOG091706CA","AGAP002835","+",28191018,28192420,NA
"59840","AGAMB","2R","EOG0917003O","AGAP002836","+",28193323,28200824,NA
"59841","AGAMB","2R","EOG09170AH0","AGAP002837","+",28201410,28201976,NA
"59842","AGAMB","2R","EOG091708Y0","AGAP002838","+",28205606,28207075,NA
"59843","AGAMB","2R","EOG0917053I","AGAP002839","+",28211558,28212705,NA
"59844","AGAMB","2R","EOG0917047D","AGAP002840","+",28213289,28216175,NA
"59845","AGAMB","2R","EOG091706W8","AGAP002841","-",28217330,28218082,NA
"59846","AGAMB","2R","EOG091706HB","AGAP002842","-",28223588,28225491,NA
"59847","AGAMB","2R","EOG0917037A","AGAP002845","-",28276666,28278782,NA
"59848","AGAMB","2R","EOG091707F1","AGAP002846","+",28294800,28295651,0.012
"59849","AGAMB","2R","EOG091709OA","AGAP002847","+",28299718,28300266,NA
"59850","AGAMB","2R","EOG091709OI","AGAP002848","+",28300520,28301052,NA
"59851","AGAMB","2R","EOG091709JE","AGAP002849","+",28302217,28302760,NA
"59852","AGAMB","2R","EOG091709M3","AGAP002850","+",28304726,28305246,NA
"59853","AGAMB","2R","EOG091709PD","AGAP002851","-",28305696,28306228,NA
"59854","AGAMB","2R","EOG0917086Z","AGAP002854","-",28311004,28311650,NA
"59855","AGAMB","2R","EOG091708WG","AGAP002857","-",28317711,28318396,NA
"59856","AGAMB","2R","EOG09170104","AGAP002858","+",28323518,28387114,NA
"59857","AGAMB","2R","EOG091702SN","AGAP002859","+",28421099,28511124,NA
"59858","AGAMB","2R","EOG091703S2","AGAP002862","-",28480944,28482564,NA
"59859","AGAMB","2R","EOG0917045P","AGAP002864","-",28487640,28489092,NA
"59860","AGAMB","2R","EOG091703DA","AGAP002866","-",28494017,28495645,0.013
"59861","AGAMB","2R","EOG091703AZ","AGAP002868","-",28499251,28500859,0.012
"59862","AGAMB","2R","EOG09170096","AGAP002869","-",28501304,28502894,NA
"59863","AGAMB","2R","EOG091704KL","AGAP002872","-",28534776,28536143,NA
"59864","AGAMB","2R","EOG091702J5","AGAP002873","-",28538733,28540283,NA
"59865","AGAMB","2R","EOG091700G4","AGAP002874","-",28545637,28549050,NA
"59866","AGAMB","2R","EOG091706RE","AGAP002875","+",28566552,28568601,NA
"59867","AGAMB","2R","EOG091706J3","AGAP002876","-",28571405,28572556,NA
"59868","AGAMB","2R","EOG091702B8","AGAP002877","+",28573203,28575303,NA
"59869","AGAMB","2R","EOG09170AQK","AGAP002878","-",28575574,28575870,NA
"59870","AGAMB","2R","EOG091700SM","AGAP002879","-",28576962,28587719,NA
"59871","AGAMB","2R","EOG091705MM","AGAP002880","-",28588463,28589558,NA
"59872","AGAMB","2R","EOG091703KC","AGAP002881","+",28615882,28650598,NA
"59873","AGAMB","2R","EOG091705D7","AGAP002883","-",28652177,28663610,NA
"59874","AGAMB","2R","EOG091703DV","AGAP002884","+",28670971,28673585,NA
"59875","AGAMB","2R","EOG091708PV","AGAP002885","-",28684087,28684754,NA
"59876","AGAMB","2R","EOG091704EW","AGAP002886","+",28808264,28811747,NA
"59877","AGAMB","2R","EOG091701ON","AGAP002888","-",28822444,28860915,NA
"59878","AGAMB","2R","EOG09170AG6","AGAP002889","-",28938212,28938750,NA
"59879","AGAMB","2R","EOG091704B8","AGAP002890","+",28941203,28943426,NA
"59880","AGAMB","2R","EOG0917010N","AGAP002891","-",28944587,28958926,0.021
"59881","AGAMB","2R","EOG091704O0","AGAP002892","-",28972973,28977019,NA
"59882","AGAMB","2R","EOG091703IV","AGAP002894","+",28981542,28983105,NA
"59883","AGAMB","2R","EOG091700V9","AGAP002895","+",28983525,28985742,NA
"59884","AGAMB","2R","EOG09170421","AGAP002896","-",28997201,29014636,NA
"59885","AGAMB","2R","EOG091706QQ","AGAP002898","-",29080820,29096123,NA
"59886","AGAMB","2R","EOG091704TP","AGAP002899","+",29098250,29099864,NA
"59887","AGAMB","2R","EOG0917013W","AGAP002900","-",29101713,29112252,NA
"59888","AGAMB","2R","EOG091706RC","AGAP002901","+",29112921,29113935,NA
"59889","AGAMB","2R","EOG091704CD","AGAP002903","-",29124103,29126818,NA
"59890","AGAMB","2R","EOG091702ZN","AGAP002904","-",29130386,29133257,NA
"59891","AGAMB","2R","EOG091702CN","AGAP002906","-",29134973,29137211,NA
"59892","AGAMB","2R","EOG091705M4","AGAP002908","+",29154424,29158628,NA
"59893","AGAMB","2R","EOG0917079U","AGAP002909","+",29198983,29203672,NA
"59894","AGAMB","2R","EOG091702Z3","AGAP002913","-",29228612,29230243,NA
"59895","AGAMB","2R","EOG091700L4","AGAP002915","-",29304390,29399573,NA
"59896","AGAMB","2R","EOG09170B60","AGAP002917","+",29606541,29606890,NA
"59897","AGAMB","2R","EOG091708DU","AGAP002919","-",29609284,29611231,NA
"59898","AGAMB","2R","EOG091702X6","AGAP002920","-",29612435,29614695,NA
"59899","AGAMB","2R","EOG09170615","AGAP002922","-",29619898,29622127,NA
"59900","AGAMB","2R","EOG091704F8","AGAP002923","-",29629576,29631258,NA
"59901","AGAMB","2R","EOG091701TX","AGAP002924","-",29636899,29675025,NA
"59902","AGAMB","2R","EOG0917054O","AGAP002925","-",29677974,29680925,NA
"59903","AGAMB","2R","EOG091701PP","AGAP002926","+",29684816,29686272,NA
"59904","AGAMB","2R","EOG0917072P","AGAP002928","+",29743548,29744525,NA
"59905","AGAMB","2R","EOG0917048A","AGAP002929","-",29819156,29821853,NA
"59906","AGAMB","2R","EOG091708JJ","AGAP002931","+",29823850,29824666,NA
"59907","AGAMB","2R","EOG091702KA","AGAP002932","-",29826627,29829850,NA
"59908","AGAMB","2R","EOG091700BO","AGAP002933","-",29833498,29837923,NA
"59909","AGAMB","2R","EOG091706F6","AGAP002935","+",29839433,29840474,NA
"59910","AGAMB","2R","EOG091706PV","AGAP002938","+",29864224,29865351,NA
"59911","AGAMB","2R","EOG0917061S","AGAP002939","-",29866123,29867956,NA
"59912","AGAMB","2R","EOG091707ZV","AGAP002940","+",29869280,29869815,NA
"59913","AGAMB","2R","EOG0917044X","AGAP002942","+",29878419,29985540,NA
"59914","AGAMB","2R","EOG091703AK","AGAP002943","+",29989435,29991526,NA
"59915","AGAMB","2R","EOG0917005S","AGAP002945","-",30000490,30006918,0.018
"59916","AGAMB","2R","EOG091700NN","AGAP002947","-",30007406,30017368,NA
"59917","AGAMB","2R","EOG091707NT","AGAP002948","+",30017852,30018877,NA
"59918","AGAMB","2R","EOG091700IY","AGAP002949","-",30025756,30031994,NA
"59919","AGAMB","2R","EOG091700K6","AGAP002951","-",30068096,30071872,NA
"59920","AGAMB","2R","EOG091703K9","AGAP002952","-",30054830,30063728,0.01
"59921","AGAMB","2R","EOG09170434","AGAP002953","-",30074883,30076477,NA
"59922","AGAMB","2R","EOG091701K0","AGAP002954","-",30076891,30079794,NA
"59923","AGAMB","2R","EOG0917025D","AGAP002955","-",30081696,30113125,NA
"59924","AGAMB","2R","EOG0917083K","AGAP002956","+",30114591,30115536,NA
